Headline,label
Prince Harry s book could be  beginning of end  for royals  warns Charles s biographer,0
Immigration  Biden tells migrants not to  show up at the border  in new policy announcement,0
Andrew Tate isn t feminism s inadvertent bastard child  He s sexism s last gasp,-1
In his own write  Prince Harry s ghostwriter is so famous that George Clooney made a film of his life,0
 Vulnerable boys are drawn in   Schools fear spread of Andrew Tate s misogyny,-1
An art treasure long cherished by Muslims is deemed offensive  But to whom ,0
Publishing  Man pleads guilty to stealing more than       manuscripts,-1
California  Back to back storms drop deluge of rain and snow with more ahead,-1
Margaret Cho   I was never in doubt that I d do standup ,1
 A search for ourselves   Shipwreck becomes focus of slavery debate,-1
Skiing  Shiffrin ties Vonn s World Cup record with   nd career win,1
Environment  Biden administration seeks to limit deadly air pollution,0
Paul Mescal  Normal People actor set to star in Ridley Scott s Gladiator sequel,0
US Mexico  Biden visits border for first time as critics condemn his migrant crackdown,-1
Pope Benedict XVI  Time lapse shows thousands of people gathering to attend funeral,-1
After chaotic week  McCarthy faces new battle as House votes on rules package,-1
Europe  Record high temperatures leave Alps without snow,0
Nigel Slater s recipes  Breakfast muffins  and kipper cakes with dill sauce,0
Blind date   I fired half a baklava across the table  but I think I styled it out ,-1
 It altered my entire worldview   Leading authors pick eight nonfiction books to change your mind,0
Jair Bolsonaro supporters storm Brazil s presidential palace and supreme court,1
Man City     Chelsea  Mahrez stunner sparks FA Cup cruise against pitiful Blues,-1
Documentary thrasher,0
 This is no way to live   Mississippians struggle with another water crisis,-1
 It s my Mousetrap   Michael Frayn on Noises Off  a farce to be reckoned with,-1
Harry  The Interview review  So horribly sad it could have turned the Queen anti monarchy,-1
ADHD  What does the Adderall shortage in the US mean for ADHD patients ,-1
 No rational reason   Zelenskiy criticises west sending armoured vehicles instead of tanks,-1
Immigration Biden s  carrot and stick  approach met with anger,-1
Cellphones  cameras  DNA  How police caught Idaho student killings suspect,-1
Wordiply thrasher,0
Sri Lanka  Hedge funds holding up vital debt relief for crisis hit country  warn economists,-1
First Thing email newsletter,0
 Feeling betrayed   The reaction in George Santos s district to brazen lies,-1
Across the country,0
Naomi Osaka  Concerns mount as former No   withdraws from Australian Open,-1
X marks the spot  Newly released map sparks hunt for    m Nazi hoard,0
Rising MMA star Victoria  The Prodigy  Lee dies at age of   ,0
Mexico City  At least one dead and    injured in collision on metro,-1
Brutalised  broken  mended  Inside Ukraine s rehabilitation centre for wounded veterans,-1
Ana Bel n Montes  US releases top Cuba spy after    years in prison,-1
 Touched by the welcome   Messi given guard of honour on PSG return,1
Ukraine and Pope Benedict s funeral  The week around the world in    pictures,-1
Russell Banks  Award winning fiction writer dies at   ,1
New Mexico  Police investigate shootings at officials  homes and offices,0
Search for Texas vigilante who fatally shot robbery suspect carrying fake gun,-1
Iran  Regime condemned for executing two men over alleged protest crimes,-1
 I own multiple vacuum cleaners   he litters indoors   What happened when four writers swapped chores with their partners ,0
NFL  Trainer who rushed to Damar Hamlin s aid lauded as  real hero ,1
At a glance What we know on day     of the invasion,0
Prince Harry  Prince Harry defends tell all memoir in furious ITV interview,-1
Monkeys  Revealed  US allowing long tailed macaque imports despite risk of disease,1
Cellphones  cameras  DNA  how police caught Idaho student killings suspect,-1
House speaker McCarthy clinches gavel at   th attempt,0
Sculpture  Balloon animals beyond the poodle,0
NFL  Dolphins pip Pats and Steelers to playoff spot as Bills honor Hamlin,1
Boxing  Davis stops Garcia in eight to retain WBA lightweight title,0
News  sport and opinion from the Guardian s US edition,0
Putin  President attends Orthodox Christmas service alone,-1
Myanmar  On the frontline with the rebel army fighting brutal junta,-1
Virginia shooting of teacher by six year old  not accidental   authorities say,0
If Harry sounds callous about killing  he is  All of us who served were   at least he knows why,-1
 You re my hero   How Zelenskiy became Hollywood s man of the hour,1
The Shards by Bret Easton Ellis review  An inspired fever dream of a book,1
Minsk  Russia and Belarus extend military drills amid fears of new push into Ukraine,-1
Brazil Bolsonaro supporters storm presidential palace,1
Tesla  Musk seeks to move trial out of San Francisco  claiming he can t get fair trial,1
 Love is overwhelming   Recovering Hamlin posts update on social media,1
Italo Calvino  The Written World and the Unwritten World review   a box of delights,1
Chicago  New report details sexual misconduct allegations in public school system,0
Virginia Shooting a red flag for US  says mayor,0
Victoria Lee  Rising MMA star dies at age of   ,0
